operator,department,employee_profile,device_category,estimated_price_mad,budget_risk_score,risk_level,alert_flag,recommendation,real_price_range,real_price_label,predicted_price_range,predicted_price_label,prediction_confidence
Maroc Telecom,IT,Usage premium,Milieu de gamme,2500,38.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9966
Maroc Telecom,IT,Usage intensif,Premium,7000,95.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9996
Orange Maroc,Finance,Usage intensif,Haut de gamme,4500,64.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9888
Maroc Telecom,Finance,Usage standard,Haut de gamme,4500,58.6,Moyen,0,Appareil conforme au besoin,2,Haut de gamme,2,Haut de gamme,0.9617
Maroc Telecom,Support,Usage premium,Haut de gamme,4500,64.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9922
Orange Maroc,Commercial,Usage standard,Premium,7000,94.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,40.7,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9825
inwi,IT,Usage intensif,Milieu de gamme,2500,41.4,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.6131
Maroc Telecom,Support,Usage standard,Entrée de gamme,1200,20.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9849
Orange Maroc,Support,Usage standard,Milieu de gamme,2500,38.3,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9678
Maroc Telecom,IT,Usage standard,Premium,7000,96.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9993
Orange Maroc,Support,Usage standard,Milieu de gamme,2500,41.8,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9891
Orange Maroc,Commercial,Usage premium,Entrée de gamme,1200,21.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9874
Maroc Telecom,IT,Usage basique,Premium,7000,89.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9695
inwi,Commercial,Usage premium,Haut de gamme,4500,63.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.981
inwi,Commercial,Usage intensif,Haut de gamme,4500,64.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9978
inwi,IT,Usage intensif,Premium,7000,93.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,2,Haut de gamme,0.6607
inwi,Direction,Usage standard,Milieu de gamme,2500,39.5,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9934
Orange Maroc,Support,Usage intensif,Haut de gamme,4500,64.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9943
inwi,Commercial,Usage basique,Haut de gamme,4500,67.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.8776
Maroc Telecom,Commercial,Usage intensif,Entrée de gamme,1200,20.6,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9983
Maroc Telecom,RH,Usage basique,Premium,7000,94.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.998
Maroc Telecom,Commercial,Usage premium,Milieu de gamme,2500,44.1,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9473
Maroc Telecom,Commercial,Usage premium,Haut de gamme,4500,64.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9936
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,39.7,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9969
Maroc Telecom,Commercial,Usage basique,Entrée de gamme,1200,18.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9999
inwi,Support,Usage intensif,Entrée de gamme,1200,20.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9998
Maroc Telecom,Commercial,Usage standard,Haut de gamme,4500,64.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9901
Maroc Telecom,IT,Usage premium,Haut de gamme,4500,63.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9981
Orange Maroc,Support,Usage basique,Premium,7000,89.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9902
Maroc Telecom,Finance,Usage basique,Premium,7000,92.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9969
inwi,Finance,Usage premium,Premium,7000,98.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9994
Maroc Telecom,IT,Usage intensif,Entrée de gamme,1200,23.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9969
inwi,RH,Usage intensif,Premium,7000,95.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9989
inwi,Support,Usage standard,Premium,7000,94.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,63.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9716
Maroc Telecom,Finance,Usage standard,Entrée de gamme,1200,17.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9999
inwi,Support,Usage intensif,Premium,7000,93.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.986
Orange Maroc,Support,Usage intensif,Entrée de gamme,1200,18.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9995
Orange Maroc,Support,Usage standard,Milieu de gamme,2500,38.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9951
inwi,Finance,Usage standard,Entrée de gamme,1200,22.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9959
Maroc Telecom,Commercial,Usage standard,Entrée de gamme,1200,25.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9632
Maroc Telecom,Direction,Usage intensif,Premium,7000,93.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9996
Maroc Telecom,Support,Usage basique,Milieu de gamme,2500,39.7,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9901
inwi,IT,Usage intensif,Premium,7000,95.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Orange Maroc,IT,Usage basique,Haut de gamme,4500,63.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9886
Maroc Telecom,Commercial,Usage intensif,Premium,7000,95.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
Maroc Telecom,Direction,Usage intensif,Milieu de gamme,2500,40.1,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9893
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,40.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9897
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,36.3,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9298
Orange Maroc,IT,Usage basique,Entrée de gamme,1200,23.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9963
Orange Maroc,Commercial,Usage intensif,Premium,7000,91.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.984
inwi,Support,Usage intensif,Haut de gamme,4500,62.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9967
Orange Maroc,RH,Usage basique,Haut de gamme,4500,63.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.967
Maroc Telecom,Support,Usage intensif,Premium,7000,92.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9981
Orange Maroc,Direction,Usage standard,Haut de gamme,4500,64.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9904
inwi,Finance,Usage standard,Entrée de gamme,1200,23.5,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.6607
Orange Maroc,Commercial,Usage premium,Entrée de gamme,1200,18.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9997
inwi,Finance,Usage standard,Milieu de gamme,2500,38.7,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.985
Orange Maroc,Support,Usage standard,Premium,7000,93.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9987
Orange Maroc,Commercial,Usage basique,Entrée de gamme,1200,23.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9977
Maroc Telecom,Commercial,Usage basique,Haut de gamme,4500,61.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9876
Maroc Telecom,Support,Usage standard,Entrée de gamme,1200,22.4,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9905
Maroc Telecom,RH,Usage basique,Milieu de gamme,2500,36.4,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9868
Maroc Telecom,Direction,Usage intensif,Premium,7000,92.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9795
Orange Maroc,Commercial,Usage standard,Milieu de gamme,2500,40.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9958
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,39.8,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9858
Orange Maroc,Commercial,Usage basique,Entrée de gamme,1200,26.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9723
inwi,Support,Usage standard,Entrée de gamme,1200,20.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9989
Maroc Telecom,Finance,Usage intensif,Milieu de gamme,2500,38.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9977
Maroc Telecom,Support,Usage premium,Premium,7000,91.7,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9684
inwi,Direction,Usage basique,Premium,7000,91.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9786
Maroc Telecom,Finance,Usage premium,Premium,7000,90.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9902
Maroc Telecom,Direction,Usage standard,Premium,7000,90.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,2,Haut de gamme,0.8606
Maroc Telecom,IT,Usage standard,Milieu de gamme,2500,39.0,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9855
Maroc Telecom,Finance,Usage standard,Milieu de gamme,2500,39.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.985
inwi,Finance,Usage basique,Entrée de gamme,1200,20.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9963
inwi,Support,Usage basique,Haut de gamme,4500,67.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.963
Orange Maroc,Commercial,Usage intensif,Premium,7000,96.4,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
inwi,IT,Usage standard,Premium,7000,93.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9991
inwi,RH,Usage premium,Haut de gamme,4500,65.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9697
Maroc Telecom,Commercial,Usage standard,Milieu de gamme,2500,40.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9974
inwi,IT,Usage basique,Entrée de gamme,1200,21.0,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9996
Orange Maroc,Support,Usage intensif,Milieu de gamme,2500,40.0,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9527
inwi,Support,Usage standard,Haut de gamme,4500,66.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9798
inwi,Commercial,Usage standard,Premium,7000,90.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9966
Maroc Telecom,Direction,Usage intensif,Premium,7000,91.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9842
Maroc Telecom,RH,Usage premium,Premium,7000,94.0,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9814
Maroc Telecom,Direction,Usage intensif,Haut de gamme,4500,63.3,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9746
Maroc Telecom,Commercial,Usage intensif,Premium,7000,94.6,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9979
inwi,Commercial,Usage intensif,Haut de gamme,4500,63.5,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9966
inwi,IT,Usage premium,Milieu de gamme,2500,40.3,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.5589
Maroc Telecom,Support,Usage standard,Premium,7000,98.8,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Orange Maroc,RH,Usage basique,Entrée de gamme,1200,23.2,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9961
Maroc Telecom,IT,Usage standard,Premium,7000,96.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9995
Maroc Telecom,IT,Usage basique,Milieu de gamme,2500,40.8,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.992
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,63.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9941
Maroc Telecom,Commercial,Usage intensif,Milieu de gamme,2500,40.3,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.8625
inwi,Support,Usage standard,Haut de gamme,4500,65.0,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9922
Maroc Telecom,Support,Usage basique,Haut de gamme,4500,64.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9962
Orange Maroc,IT,Usage intensif,Milieu de gamme,2500,42.5,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9279
Orange Maroc,Support,Usage standard,Premium,7000,93.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9992
Maroc Telecom,Finance,Usage intensif,Entrée de gamme,1200,16.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9978
inwi,Support,Usage standard,Entrée de gamme,1200,21.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9902
inwi,Support,Usage standard,Haut de gamme,4500,60.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9451
Maroc Telecom,Commercial,Usage basique,Entrée de gamme,1200,20.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9999
Orange Maroc,Support,Usage basique,Premium,7000,96.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9998
Maroc Telecom,Finance,Usage intensif,Haut de gamme,4500,60.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9852
Maroc Telecom,Commercial,Usage premium,Entrée de gamme,1200,21.8,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9982
Maroc Telecom,Support,Usage intensif,Premium,7000,96.9,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9988
Orange Maroc,Commercial,Usage basique,Milieu de gamme,2500,41.5,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9034
Orange Maroc,RH,Usage standard,Premium,7000,96.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9999
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,62.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9751
Maroc Telecom,Support,Usage intensif,Haut de gamme,4500,62.4,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9888
inwi,RH,Usage basique,Milieu de gamme,2500,40.9,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.993
Maroc Telecom,IT,Usage basique,Premium,7000,91.5,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9904
Maroc Telecom,Support,Usage intensif,Milieu de gamme,2500,40.2,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.95
Orange Maroc,Support,Usage standard,Haut de gamme,4500,63.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,1,Milieu de gamme,0.7245
inwi,IT,Usage standard,Entrée de gamme,1200,22.3,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9991
Maroc Telecom,Finance,Usage basique,Milieu de gamme,2500,40.4,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9957
Orange Maroc,IT,Usage standard,Entrée de gamme,1200,17.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.995
inwi,RH,Usage premium,Entrée de gamme,1200,20.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9993
Maroc Telecom,Commercial,Usage premium,Premium,7000,95.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9997
Orange Maroc,Support,Usage standard,Milieu de gamme,2500,39.6,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9843
Maroc Telecom,Commercial,Usage standard,Haut de gamme,4500,67.1,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9313
Orange Maroc,Commercial,Usage basique,Haut de gamme,4500,64.7,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9967
Orange Maroc,RH,Usage standard,Entrée de gamme,1200,20.9,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9992
Orange Maroc,Support,Usage standard,Entrée de gamme,1200,20.7,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9984
Maroc Telecom,Commercial,Usage intensif,Haut de gamme,4500,63.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.978
inwi,Direction,Usage standard,Premium,7000,91.1,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9627
Maroc Telecom,Commercial,Usage basique,Milieu de gamme,2500,39.4,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9894
Maroc Telecom,IT,Usage basique,Haut de gamme,4500,60.9,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9837
Maroc Telecom,Commercial,Usage standard,Premium,7000,90.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9506
Orange Maroc,Finance,Usage basique,Milieu de gamme,2500,39.2,Faible,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.9749
Orange Maroc,Commercial,Usage basique,Premium,7000,95.2,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.9994
Maroc Telecom,IT,Usage premium,Milieu de gamme,2500,43.7,Moyen,0,Appareil conforme au besoin,1,Milieu de gamme,1,Milieu de gamme,0.7358
Orange Maroc,IT,Usage standard,Haut de gamme,4500,64.8,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9858
Maroc Telecom,Support,Usage standard,Haut de gamme,4500,63.2,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.9919
Orange Maroc,Finance,Usage premium,Premium,7000,92.3,Critique,1,Appareil coûteux : réserver aux profils premium,3,Premium,3,Premium,0.5836
Maroc Telecom,Support,Usage premium,Haut de gamme,4500,60.6,Élevé,1,Vérifier la pertinence budgétaire pour ce département,2,Haut de gamme,2,Haut de gamme,0.6311
Orange Maroc,Finance,Usage standard,Entrée de gamme,1200,19.1,Faible,0,Appareil conforme au besoin,0,Entrée de gamme,0,Entrée de gamme,0.9997
